i,g_i,tau_i_s,G_i_MPa
1,0.06538769979502831,0.010084452670644221,46.87870696078595
2,0.04489671383844583,0.06837041167419879,32.1880093371138
3,0.04571897827894357,0.38468340381663213,32.777519197090534
4,0.04996749096553854,2.09955984677031,35.82342510719888
5,0.11491733340843108,19.17764998722755,82.3882169652095
sum,0.3208882162863873,,230.05587756739865
