omega_rad_s,omega_reduced,temp_C,Gp_MPa,Gpp_MPa,tan_delta,aT
79.4329,1.629963108e+20,-30,1233.9,55.448,0.04494,2.052e+18
0.79433,1.79685071568e+20,-40,1233.9,52.613,0.04264,2.262096e+20
100.0,2.052e+20,-30,1241.2,56.096,0.04519,2.052e+18
1.0,2.262096e+20,-40,1241.4,52.242,0.04208,2.262096e+20
1.25893,2.8478205172800002e+20,-40,1249.1,52.255,0.04183,2.262096e+20
1.58489,3.58517332944e+20,-40,1256.5,52.231,0.04157,2.262096e+20
1.99526,4.51346966496e+20,-40,1263.5,52.387,0.04146,2.262096e+20
2.51189,5.68213632144e+20,-40,1271.1,52.082,0.04097,2.262096e+20
3.16228,7.15338093888e+20,-40,1278.4,51.712,0.04045,2.262096e+20
3.98107,9.00556252272e+20,-40,1285.5,52.217,0.04062,2.262096e+20
5.01187,1.133733107952e+21,-40,1292.8,52.111,0.04031,2.262096e+20
6.30958,1.427287567968e+21,-40,1300.1,52.068,0.04005,2.262096e+20
7.94329,1.796848453584e+21,-40,1307.5,52.453,0.04012,2.262096e+20
10.0,2.262096e+21,-40,1314.9,52.752,0.04012,2.262096e+20
0.1,2.448e+21,-50,1333.9,56.368,0.04226,2.448e+22
12.5893,2.8478205172799997e+21,-40,1322.6,53.249,0.04026,2.262096e+20
0.12589,3.0817872000000003e+21,-50,1341.0,54.305,0.0405,2.448e+22
15.8489,3.58517332944e+21,-40,1329.7,53.737,0.04041,2.262096e+20
0.15849,3.8798352e+21,-50,1347.7,52.4,0.03888,2.448e+22
19.9526,4.5134696649600003e+21,-40,1337.4,54.008,0.04038,2.262096e+20
0.19953,4.884494400000001e+21,-50,1355.1,51.597,0.03808,2.448e+22
25.1189,5.68213632144e+21,-40,1345.2,54.673,0.04064,2.262096e+20
0.25119,6.1491312e+21,-50,1362.3,50.408,0.037,2.448e+22
31.6228,7.15338093888e+21,-40,1352.6,55.893,0.04132,2.262096e+20
0.31623,7.7413104e+21,-50,1369.3,49.539,0.03618,2.448e+22
39.8107,9.00556252272e+21,-40,1360.6,56.101,0.04123,2.262096e+20
0.39811,9.745732800000001e+21,-50,1375.5,48.545,0.03529,2.448e+22
50.1188,1.133735370048e+22,-40,1368.5,56.499,0.04129,2.262096e+20
0.50119,1.22691312e+22,-50,1382.2,47.798,0.03458,2.448e+22
63.0958,1.427287567968e+22,-40,1376.1,56.925,0.04137,2.262096e+20
0.63096,1.54459008e+22,-50,1388.4,46.967,0.03383,2.448e+22
79.4329,1.7968484535840002e+22,-40,1384.4,57.592,0.0416,2.262096e+20
0.79433,1.9445198399999998e+22,-50,1394.8,46.532,0.03336,2.448e+22
100.0,2.262096e+22,-40,1392.2,57.369,0.04121,2.262096e+20
1.0,2.448e+22,-50,1401.2,46.168,0.03295,2.448e+22
1.25893,3.0818606400000003e+22,-50,1407.6,46.028,0.0327,2.448e+22
1.58489,3.87981072e+22,-50,1413.8,46.0,0.03254,2.448e+22
1.99526,4.88439648e+22,-50,1420.0,45.561,0.03209,2.448e+22
2.51189,6.14910672e+22,-50,1426.4,44.937,0.0315,2.448e+22
3.16228,7.74126144e+22,-50,1432.5,44.838,0.0313,2.448e+22
3.98107,9.74565936e+22,-50,1438.8,44.591,0.03099,2.448e+22
5.01187,1.226905776e+23,-50,1444.3,44.81,0.03102,2.448e+22
6.30958,1.5445851840000002e+23,-50,1451.0,45.144,0.03111,2.448e+22
7.94329,1.944517392e+23,-50,1457.4,45.147,0.03098,2.448e+22
10.0,2.448e+23,-50,1463.4,45.792,0.03129,2.448e+22
12.5893,3.08186064e+23,-50,1470.0,46.23,0.03145,2.448e+22
15.8489,3.8798107200000004e+23,-50,1476.7,46.503,0.03149,2.448e+22
19.9526,4.88439648e+23,-50,1483.2,46.886,0.03161,2.448e+22
25.1189,6.14910672e+23,-50,1490.0,47.56,0.03192,2.448e+22
31.6228,7.741261440000001e+23,-50,1497.5,47.717,0.03186,2.448e+22
39.8107,9.74565936e+23,-50,1503.8,48.298,0.03212,2.448e+22
50.1188,1.226908224e+24,-50,1510.6,48.701,0.03224,2.448e+22
63.0958,1.544585184e+24,-50,1517.3,48.829,0.03218,2.448e+22
79.4329,1.944517392e+24,-50,1523.9,49.097,0.03222,2.448e+22
100.0,2.448e+24,-50,1530.4,48.074,0.03141,2.448e+22
